"","X.","Nicotinamide..Azithromycin..Nitazoxanide","Nicotinamide..Placebo","Placebo..Azithromycin..Nitazoxanide","Placebo..Placebo","Overall"
"1","","(N=53)","(N=48)","(N=45)","(N=54)","(N=200)"
"2","sex_base","","","","",""
"3","  Female","29 (54.7%)","28 (58.3%)","18 (40.0%)","26 (48.1%)","101 (50.5%)"
"4","  Male","24 (45.3%)","20 (41.7%)","27 (60.0%)","28 (51.9%)","99 (49.5%)"
"5","brthyr_base","","","","",""
"6","  Mean (SD)","2020 (0.320)","2020 (0.245)","2020 (0.288)","2020 (0.264)","2020 (0.280)"
"7","  Median [Min, Max]","2020 [2020, 2020]","2020 [2020, 2020]","2020 [2020, 2020]","2020 [2020, 2020]","2020 [2020, 2020]"
"8","brthweek_base","","","","",""
"9","  Mean (SD)","20.2 (11.1)","17.5 (9.58)","20.8 (10.2)","17.1 (10.8)","18.9 (10.5)"
"10","  Median [Min, Max]","21.0 [1.00, 44.0]","15.0 [2.00, 44.0]","19.0 [5.00, 44.0]","14.5 [2.00, 44.0]","16.0 [1.00, 44.0]"
"11","mage_base","","","","",""
"12","  Mean (SD)","29.5 (6.66)","28.4 (7.00)","28.5 (7.01)","30.8 (7.76)","29.4 (7.14)"
"13","  Median [Min, Max]","29.0 [18.0, 46.0]","27.0 [19.0, 46.0]","26.0 [18.0, 42.0]","31.0 [19.0, 42.0]","28.0 [18.0, 46.0]"
"14","parity_base","","","","",""
"15","  Mean (SD)","4.55 (2.58)","3.92 (2.57)","3.98 (2.55)","4.89 (2.83)","4.36 (2.65)"
"16","  Median [Min, Max]","5.00 [1.00, 12.0]","3.00 [1.00, 9.00]","3.00 [1.00, 12.0]","5.00 [1.00, 12.0]","4.00 [1.00, 12.0]"
"17","nlchild_base","","","","",""
"18","  Mean (SD)","4.55 (2.58)","3.92 (2.57)","3.98 (2.55)","4.89 (2.83)","4.36 (2.65)"
"19","  Median [Min, Max]","5.00 [1.00, 12.0]","3.00 [1.00, 9.00]","3.00 [1.00, 12.0]","5.00 [1.00, 12.0]","4.00 [1.00, 12.0]"
"20","nperson_base","","","","",""
"21","  Mean (SD)","7.45 (2.61)","6.81 (2.88)","7.24 (2.89)","7.52 (2.49)","7.27 (2.70)"
"22","  Median [Min, Max]","8.00 [3.00, 14.0]","7.00 [1.00, 18.0]","7.00 [3.00, 14.0]","7.00 [3.00, 14.0]","7.00 [1.00, 18.0]"
"23","nrooms_base","","","","",""
"24","  Mean (SD)","4.91 (2.26)","4.48 (2.13)","4.58 (2.26)","4.87 (2.18)","4.72 (2.20)"
"25","  Median [Min, Max]","5.00 [2.00, 12.0]","4.00 [2.00, 11.0]","4.00 [1.00, 12.0]","4.00 [1.00, 11.0]","4.00 [1.00, 12.0]"
"26","meducyrs_base","","","","",""
"27","  Mean (SD)","6.19 (2.98)","6.77 (2.43)","6.38 (2.61)","6.85 (2.59)","6.55 (2.67)"
"28","  Median [Min, Max]","7.00 [0, 13.0]","7.00 [0, 11.0]","7.00 [0, 12.0]","7.00 [0, 13.0]","7.00 [0, 13.0]"
"29","h2osrcp_base","","","","",""
"30","  Piped to yard/plot","1 (1.9%)","0 (0%)","0 (0%)","0 (0%)","1 (0.5%)"
"31","  Protected well","4 (7.5%)","2 (4.2%)","1 (2.2%)","1 (1.9%)","8 (4.0%)"
"32","  Public tap/stand pipe","23 (43.4%)","19 (39.6%)","22 (48.9%)","24 (44.4%)","88 (44.0%)"
